Model,Exp1,Exp2,Delta_Exp2_minus_Exp1
DNN_LNA_closs1,25.333333333333332,66.66666666666667,41.33333333333334
DNN_LNA_closs2,99.33333333333333,100.0,0.6666666666666714
DNN_LNA_mse,74.66666666666667,100.0,25.33333333333333
DNN_LNA_on_wheel1,90.66666666666667,100.0,9.333333333333329
DNN_LNA_sinu,69.16666666666667,100.0,30.83333333333333
