Model,GoalX,GoalY,Theta_center,SuccessRate,Count
DNN_LNA_closs1,1.5,0.0,-1.9634954084936207,,0
DNN_LNA_closs1,1.5,0.0,-1.1780972450961724,,0
DNN_LNA_closs1,1.5,0.0,-0.39269908169872414,,0
DNN_LNA_closs1,1.5,0.0,0.39269908169872414,,0
DNN_LNA_closs1,1.5,0.0,1.1780972450961724,,0
DNN_LNA_closs1,1.5,0.0,1.9634954084936207,,0
DNN_LNA_closs1,1.5,0.0,2.748893571891069,,0
DNN_LNA_closs1,1.5,0.5,-2.748893571891069,,0
DNN_LNA_closs1,1.5,0.5,-1.9634954084936207,,0
DNN_LNA_closs1,1.5,0.5,-1.1780972450961724,,0
DNN_LNA_closs1,1.5,0.5,-0.39269908169872414,,0
DNN_LNA_closs1,1.5,0.5,0.39269908169872414,,0
DNN_LNA_closs1,1.5,0.5,1.1780972450961724,,0
DNN_LNA_closs1,1.5,0.5,1.9634954084936207,,0
DNN_LNA_closs1,1.5,0.5,2.748893571891069,,0
DNN_LNA_closs2,0.5,-0.5,-2.748893571891069,,0
DNN_LNA_closs2,0.5,-0.5,-1.9634954084936207,,0
DNN_LNA_closs2,0.5,-0.5,-1.1780972450961724,,0
DNN_LNA_closs2,0.5,-0.5,-0.39269908169872414,,0
DNN_LNA_closs2,0.5,-0.5,0.39269908169872414,,0
DNN_LNA_closs2,0.5,-0.5,1.1780972450961724,,0
DNN_LNA_closs2,0.5,-0.5,1.9634954084936207,,0
DNN_LNA_closs2,0.5,-0.5,2.748893571891069,,0
DNN_LNA_closs2,0.5,0.0,-2.748893571891069,,0
DNN_LNA_closs2,0.5,0.0,-1.9634954084936207,,0
DNN_LNA_closs2,0.5,0.0,-1.1780972450961724,,0
DNN_LNA_closs2,0.5,0.0,-0.39269908169872414,,0
DNN_LNA_closs2,0.5,0.0,0.39269908169872414,,0
DNN_LNA_closs2,0.5,0.0,1.1780972450961724,,0
DNN_LNA_closs2,0.5,0.0,1.9634954084936207,,0
DNN_LNA_closs2,0.5,0.0,2.748893571891069,,0
DNN_LNA_closs2,0.5,0.5,-2.748893571891069,100.0,29
DNN_LNA_closs2,0.5,0.5,-1.9634954084936207,100.0,27
DNN_LNA_closs2,0.5,0.5,-1.1780972450961724,100.0,32
DNN_LNA_closs2,0.5,0.5,-0.39269908169872414,100.0,14
DNN_LNA_closs2,0.5,0.5,0.39269908169872414,100.0,25
DNN_LNA_closs2,0.5,0.5,1.1780972450961724,100.0,22
DNN_LNA_closs2,0.5,0.5,1.9634954084936207,100.0,24
DNN_LNA_closs2,0.5,0.5,2.748893571891069,100.0,27
DNN_LNA_closs2,1.0,-0.5,-2.748893571891069,,0
